Job,Operation,Machine,Start,Processing Time,End
J25-0006,2,M02,2691,61,2752
J25-0006,3,M06,2752,7,2759
J25-0006,4,M08,2771,64,2835
J25-0006,5,M09,2894,76,2970
J25-0006,6,M05,2980,47,3027
J25-0006,7,M03,3027,52,3079
J25-0006,8,M04,3079,90,3169
J25-0006,9,M07,3494,45,3539
J25-0007,0,M02,1937,84,2021
J25-0007,1,M01,2021,2,2023
J25-0007,2,M05,2023,52,2075
J25-0007,3,M03,2087,95,2182
J25-0007,4,M08,2182,48,2230
J25-0007,5,M09,2230,72,2302
J25-0007,6,M00,2302,47,2349
J25-0007,7,M06,2349,65,2414
J25-0007,8,M04,2488,6,2494
J25-0007,9,M07,2904,25,2929
J25-0008,0,M02,2755,14,2769
J25-0008,1,M00,2769,6,2775
J25-0008,2,M01,2815,22,2837
J25-0008,3,M05,2919,61,2980
J25-0008,4,M03,2980,26,3006
J25-0008,5,M04,3006,69,3075
J25-0008,6,M08,3150,21,3171
J25-0008,7,M07,3171,49,3220
J25-0008,8,M09,3220,72,3292
J25-0008,9,M06,3488,53,3541
J25-0009,0,M02,2500,31,2531
J25-0009,1,M00,2563,86,2649
J25-0009,2,M01,2769,46,2815
J25-0009,3,M05,2834,74,2908
J25-0009,4,M04,2908,32,2940
J25-0009,5,M06,3070,88,3158
J25-0009,6,M08,3210,19,3229
J25-0009,7,M09,3345,48,3393
J25-0009,8,M07,3433,36,3469
J25-0009,9,M03,3499,79,3578
J25-0010,0,M00,2649,29,2678
J25-0010,1,M01,2691,78,2769
J25-0010,2,M02,2769,9,2778
J25-0010,3,M03,2778,36,2814
J25-0010,4,M04,2814,49,2863
J25-0010,5,M05,2908,11,2919
J25-0010,6,M06,2919,62,2981
J25-0010,7,M07,2981,56,3037
J25-0010,8,M08,3106,44,3150
J25-0010,9,M09,3324,21,3345
J25-0011,0,M00,2190,43,2233
J25-0011,1,M02,2233,90,2323
J25-0011,2,M04,2413,75,2488
J25-0011,3,M09,2488,11,2499
J25-0011,4,M03,2532,69,2601
J25-0011,5,M01,2663,28,2691
J25-0011,6,M06,2691,46,2737
J25-0011,7,M05,2737,46,2783
J25-0011,8,M07,2822,72,2894
J25-0011,9,M08,3180,30,3210
J25-0012,0,M01,3249,91,3340
J25-0012,1,M00,3340,85,3425
J25-0012,2,M03,3425,39,3464
J25-0012,3,M02,3464,74,3538
J25-0012,4,M08,3660,90,3750
J25-0012,5,M05,3750,10,3760
J25-0012,6,M07,3760,12,3772
J25-0012,7,M06,3772,89,3861
J25-0012,8,M09,3861,45,3906
J25-0012,9,M04,4352,33,4385
J25-0013,0,M01,1440,81,1521
J25-0013,1,M02,1521,95,1616
J25-0013,2,M00,1616,71,1687
J25-0013,3,M04,1687,99,1786
J25-0013,4,M06,1786,9,1795
J25-0013,5,M08,1852,52,1904
J25-0013,6,M07,1904,85,1989
J25-0013,7,M03,1989,98,2087
J25-0013,8,M09,2087,22,2109
J25-0013,9,M05,2524,43,2567
J25-0014,0,M02,2531,14,2545
J25-0014,1,M00,2557,6,2563
J25-0014,2,M01,2572,22,2594
J25-0014,3,M05,2594,61,2655
J25-0014,4,M03,2655,26,2681
J25-0014,5,M04,2681,69,2750
J25-0014,6,M08,2750,21,2771
J25-0014,7,M07,2773,49,2822
J25-0014,8,M09,2822,72,2894
J25-0014,9,M06,3262,53,3315
J25-0015,0,M02,2021,84,2105
J25-0015,1,M01,2105,2,2107
J25-0015,2,M05,2107,52,2159
J25-0015,3,M03,2182,95,2277
J25-0015,4,M08,2277,48,2325
J25-0015,5,M09,2325,72,2397
J25-0015,6,M00,2434,47,2481
J25-0015,7,M06,2481,65,2546
J25-0015,8,M04,2546,6,2552
J25-0015,9,M07,2956,25,2981
